#ATLAS3-SUSIM  13 Nov 1994.
#Wavelength in nm and Irradiance in W/m2/nm
#0.15 nm resolution (FWHM)
#Wavelength Irradiance
1.500100e+02 1.015700e-04
1.500600e+02 9.723900e-05
1.501100e+02 9.505600e-05
1.501600e+02 9.816400e-05
1.502100e+02 9.452400e-05
1.502600e+02 9.815100e-05
1.503100e+02 1.016400e-04
1.503600e+02 9.245300e-05
1.504100e+02 9.415000e-05
1.504600e+02 9.547900e-05
1.505100e+02 9.848600e-05
1.505600e+02 9.356400e-05
1.506100e+02 9.330000e-05
1.506600e+02 9.741400e-05
1.507100e+02 9.713900e-05
1.507600e+02 9.723100e-05
1.508100e+02 9.313800e-05
1.508600e+02 9.571900e-05
1.509100e+02 9.805500e-05
1.509600e+02 1.019900e-04
1.510100e+02 1.157500e-04
1.510600e+02 1.210200e-04
1.511100e+02 1.245200e-04
1.511600e+02 1.112100e-04
1.512100e+02 1.019900e-04
1.512600e+02 1.027700e-04
1.513100e+02 9.835800e-05
1.513600e+02 9.946600e-05
1.514100e+02 9.812500e-05
1.514600e+02 1.005800e-04
1.515100e+02 9.890000e-05
1.515600e+02 9.947200e-05
1.516100e+02 1.057200e-04
1.516600e+02 1.001400e-04
1.517100e+02 1.006300e-04
1.517600e+02 1.061300e-04
1.518100e+02 1.010300e-04
1.518600e+02 1.044600e-04
1.519100e+02 1.007500e-04
1.519600e+02 1.051500e-04
1.520100e+02 1.058000e-04
1.520600e+02 1.050700e-04
1.521100e+02 1.080500e-04
1.521600e+02 1.085800e-04
1.522100e+02 1.103900e-04
1.522600e+02 1.124200e-04
1.523100e+02 1.157000e-04
1.523600e+02 1.159100e-04
1.524100e+02 1.133600e-04
1.524600e+02 1.155100e-04
1.525100e+02 1.198800e-04
1.525600e+02 1.203700e-04
1.526100e+02 1.564300e-04
1.526600e+02 2.108000e-04
1.527100e+02 1.850400e-04
1.527600e+02 1.406800e-04
1.528100e+02 1.172000e-04
1.528600e+02 1.125900e-04
1.529100e+02 1.212400e-04
1.529600e+02 1.169000e-04
1.530100e+02 1.158000e-04
1.530600e+02 1.189200e-04
1.531100e+02 1.255000e-04
1.531600e+02 1.204300e-04
1.532100e+02 1.180000e-04
1.532600e+02 1.426500e-04
1.533100e+02 2.027900e-04
1.533600e+02 2.213500e-04
1.534100e+02 1.804100e-04
1.534600e+02 1.506500e-04
1.535100e+02 1.264800e-04
1.535600e+02 1.214000e-04
1.536100e+02 1.261200e-04
1.536600e+02 1.322800e-04
1.537100e+02 1.469100e-04
1.537600e+02 1.494800e-04
1.538100e+02 1.309600e-04
1.538600e+02 1.166900e-04
1.539100e+02 1.140600e-04
1.539600e+02 1.217300e-04
1.540100e+02 1.462700e-04
1.540600e+02 1.560100e-04
1.541100e+02 1.614500e-04
1.541600e+02 1.585000e-04
1.542100e+02 1.409400e-04
1.542600e+02 1.287800e-04
1.543100e+02 1.201800e-04
1.543600e+02 1.199600e-04
1.544100e+02 1.315200e-04
1.544600e+02 1.383100e-04
1.545100e+02 1.496100e-04
1.545600e+02 1.444900e-04
1.546100e+02 1.242500e-04
1.546600e+02 1.320300e-04
1.547100e+02 1.507400e-04
1.547600e+02 3.317500e-04
1.548100e+02 7.652600e-04
1.548600e+02 6.646700e-04
1.549100e+02 3.736900e-04
1.549600e+02 1.668300e-04
1.550100e+02 2.460700e-04
1.550600e+02 4.521000e-04
1.551100e+02 5.042800e-04
1.551600e+02 3.599800e-04
1.552100e+02 1.845600e-04
1.552600e+02 1.462200e-04
1.553100e+02 1.290800e-04
1.553600e+02 1.264900e-04
1.554100e+02 1.209200e-04
1.554600e+02 1.274700e-04
1.555100e+02 1.363300e-04
1.555600e+02 1.415900e-04
1.556100e+02 1.447200e-04
1.556600e+02 1.422600e-04
1.557100e+02 1.325400e-04
1.557600e+02 1.364100e-04
1.558100e+02 1.652200e-04
1.558600e+02 2.227800e-04
1.559100e+02 2.578200e-04
1.559600e+02 2.466000e-04
